"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"12","12","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Artigas","NA","-30.3554","-57.59132","InvForestal","14/09/2015","2015","Setiembre","14","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.12"
"13","13","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Paysandú","NA","-32.422861","-57.550722","InvForestal","15/11/2011","2011","Noviembre","15","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.13"
"14","14","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Soriano","NA","-33.87539","-57.53062","InvForestal","01/06/2016","2016","Junio","1","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.14"
"15","15","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-33.99474","-57.5302","InvForestal","11/04/2016","2016","Abril","11","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.15"
"16","16","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.37083","-57.51028","InvForestal","10/04/2016","2016","Abril","10","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.16"
"17","17","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.3881","-57.51028","InvForestal","10/04/2016","2016","Abril","10","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.17"
"18","18","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.07988","-57.40873","InvForestal","27/05/2016","2016","Mayo","27","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.18"
"19","19","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.25135","-57.38832","InvForestal","07/04/2016","2016","Abril","7","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.19"
"20","20","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.38972","-57.32858","InvForestal","26/05/2016","2016","Mayo","26","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.20"
"21","21","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Paysandú","NA","-32.268217","-57.30195","InvForestal","29/07/2009","2009","Julio","29","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.21"
"22","22","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.354067","-57.30726","InvForestal","08/04/2016","2016","Abril","8","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.22"
"23","23","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.28536","-57.28726","InvForestal","09/04/2016","2016","Abril","9","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.23"
"24","24","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Paysandú","NA","-32.405967","-57.263383","InvForestal","18/08/2009","2009","Agosto","18","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.24"
"25","25","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.26821","-57.26767","InvForestal","09/04/2016","2016","Abril","9","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.25"
"26","26","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Río Negro","NA","-32.935333","-57.243917","InvForestal","17/12/2009","2009","Diciembre","17","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.26"
"27","27","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Soriano","NA","-33.82413","-57.24686","InvForestal","30/05/2016","2016","Mayo","30","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.27"
