"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"12","12","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60338","-55.54297","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.12"
"13","13","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.61006","-55.53683","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.13"
"14","14","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.61032","-55.53373","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.14"
"15","15","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60126","-55.54408","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.15"
"16","16","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60177","-55.54479","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.16"
"17","17","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60233","-55.54735","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.17"
"18","18","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60255","-55.54512","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.18"
"19","19","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60476","-55.5424","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.19"
"20","20","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60655","-55.54166","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.20"
"21","21","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60156","-55.54156","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.21"
"22","22","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.61008","-55.5396","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.22"
"23","23","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60461","-55.54002","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.23"
"24","24","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.60656","-55.5277","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.24"
"25","25","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.61239","-57.21023","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.25"
"26","26","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.61315","-57.21374","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.26"
"27","27","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.61308","-57.215","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.27"
"28","28","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.61227","-57.2079","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.28"
"29","29","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.63147","-57.20549","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.29"
"30","30","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.61553","-57.20461","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.30"
"31","31","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-32.61381","-57.214","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.31"
"32","32","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01664","-57.56225","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.32"
